Zip,City,State,Latitude,Longitude
80426,Burns,CO,39.8855,-106.9302
80736,Iliff,CO,40.7990,-103.0465
81301,Durango,CO,37.2959,-107.8495
80521,Fort Collins,CO,40.5863,-105.1049
81521,Fruita,CO,39.1600,-108.7207
80281,Denver,CO,39.7439,-104.9876
80463,McCoy,CO,39.9122,-106.7430
81233,Howard,CO,38.4423,-105.8505
81637,Gypsum,CO,39.6902,-107.0255
80037,Commerce City,CO,39.8080,-104.4079
80233,Denver,CO,39.9030,-104.9544
80832,Ramah,CO,39.0343,-104.0713
81639,Hayden,CO,40.4881,-107.2609
80487,Steamboat Springs,CO,40.5028,-106.8752
81253,Wetmore,CO,38.1870,-105.0762
81125,Center,CO,37.7739,-106.0897
81063,Ordway,CO,38.2532,-103.7621
81146,Mosca,CO,37.6200,-105.7310
80001,Arvada,CO,39.5220,-105.2239
80928,Colorado Springs,CO,38.6292,-104.4507
80438,Empire,CO,39.7628,-105.7130
80864,Yoder,CO,38.6881,-104.1732
81242,Poncha Springs,CO,38.4719,-106.0973
80498,Silverthorne,CO,39.7224,-106.1374
81153,San Pablo,CO,37.1271,-105.3675
80419,Golden,CO,39.5220,-105.2239
81631,Eagle,CO,39.6223,-106.7751
81008,Pueblo,CO,38.3702,-104.6196
80528,Fort Collins,CO,40.5028,-105.0112
80814,Divide,CO,38.9273,-105.1875
80527,Fort Collins,CO,40.5406,-105.2800
81635,Parachute,CO,39.4933,-108.1157
80247,Denver,CO,39.6936,-104.8766
81025,Boone,CO,38.2437,-104.2328
80130,Lone Tree,CO,39.5416,-104.9215
80833,Rush,CO,38.6946,-103.9631
81222,Coaldale,CO,38.3745,-105.7674
80239,Denver,CO,39.7882,-104.8303
81434,Somerset,CO,38.9942,-107.3553
80421,Bailey,CO,39.4603,-105.4760
81002,Pueblo,CO,38.1286,-104.5523
80541,Masonville,CO,40.5293,-105.3720
80309,Boulder,CO,40.0878,-105.3735
80807,Burlington,CO,39.3124,-102.2509
81076,Sugar City,CO,38.2614,-103.6710
80525,Fort Collins,CO,40.5324,-105.0535
80610,Ault,CO,40.6180,-104.6676
80934,Colorado Springs,CO,38.8247,-104.5620
80121,Littleton,CO,39.6074,-104.9581
80915,Colorado Springs,CO,38.8586,-104.7089
80293,Denver,CO,39.7463,-104.9901
81154,South Fork,CO,37.6710,-106.6318
80248,Denver,CO,39.7388,-104.4083
80449,Hartsel,CO,38.9932,-105.7992
81077,Swink,CO,38.0152,-103.6283
80932,Colorado Springs,CO,38.8247,-104.5620
81328,Mancos,CO,37.3636,-108.2969
80457,Kittredge,CO,39.6539,-105.3010
81044,Hasty,CO,38.0399,-102.9457
80515,Drake,CO,40.4125,-105.4182
80478,Tabernash,CO,40.0017,-105.8686
80403,Golden,CO,39.8279,-105.3226
81611,Aspen,CO,39.1969,-106.8191
80840,U S A F Academy,CO,39.0081,-104.8425
81138,Jaroso,CO,37.1977,-105.4294
80299,Denver,CO,39.7388,-104.4083
81084,Two Buttes,CO,37.5678,-102.3919
80206,Denver,CO,39.7312,-104.9524
81042,Gulnare,CO,37.3153,-104.7346
81149,Saguache,CO,38.1202,-106.2263
80016,Aurora,CO,39.5951,-104.7485
81243,Powderhorn,CO,38.2498,-107.1554
80259,Denver,CO,39.7462,-104.9913
80551,Windsor,CO,40.4641,-104.8851
80747,Peetz,CO,40.9645,-103.1116
81615,Snowmass Village,CO,39.2141,-106.9453
80513,Berthoud,CO,40.2944,-105.0843
81102,Alamosa,CO,37.4760,-105.8818
81411,Bedrock,CO,38.3181,-108.9286
80033,Wheat Ridge,CO,39.7743,-105.1004
80926,Colorado Springs,CO,38.6524,-104.8730
80467,Oak Creek,CO,40.2668,-106.9285
80910,Colorado Springs,CO,38.8130,-104.7716
81124,Capulin,CO,37.2920,-106.1209
80995,Colorado Springs,CO,38.8247,-104.5620
80804,Arriba,CO,39.3174,-103.2487
81033,Crowley,CO,38.1936,-103.8554
80503,Longmont,CO,40.1560,-105.1737
80444,Georgetown,CO,39.6949,-105.7258
81130,Creede,CO,37.7053,-106.9543
81089,Walsenburg,CO,37.6211,-104.8046
81066,Red Wing,CO,37.7303,-105.3181
81144,Monte Vista,CO,37.5695,-106.1495
